d1,d2,d3,d4,d5,points,dice_remaining,probability
1.0,2.0,3.0,3.0,5.0,150.0,4.0,0.007716049382716049
1.0,2.0,3.0,3.0,6.0,100.0,5.0,0.007716049382716049
1.0,2.0,3.0,4.0,4.0,100.0,5.0,0.007716049382716049
1.0,2.0,3.0,4.0,5.0,150.0,4.0,0.015432098765432098
1.0,2.0,3.0,4.0,6.0,100.0,5.0,0.015432098765432098
1.0,2.0,3.0,5.0,5.0,200.0,3.0,0.007716049382716049
1.0,2.0,3.0,5.0,6.0,150.0,4.0,0.015432098765432098
1.0,2.0,3.0,6.0,6.0,100.0,5.0,0.007716049382716049
1.0,2.0,4.0,4.0,4.0,500.0,2.0,0.00257201646090535
1.0,2.0,4.0,4.0,5.0,150.0,4.0,0.007716049382716049
1.0,2.0,4.0,4.0,6.0,100.0,5.0,0.007716049382716049
1.0,2.0,4.0,5.0,5.0,200.0,3.0,0.007716049382716049
1.0,2.0,4.0,5.0,6.0,150.0,4.0,0.015432098765432098
1.0,2.0,4.0,6.0,6.0,100.0,5.0,0.007716049382716049
1.0,2.0,5.0,5.0,5.0,600.0,2.0,0.00257201646090535
1.0,2.0,5.0,5.0,6.0,200.0,3.0,0.007716049382716049
1.0,2.0,5.0,6.0,6.0,150.0,4.0,0.007716049382716049
1.0,2.0,6.0,6.0,6.0,700.0,2.0,0.00257201646090535
1.0,3.0,3.0,3.0,3.0,1100.0,1.0,0.0006430041152263374
1.0,3.0,3.0,3.0,4.0,400.0,2.0,0.00257201646090535
1.0,3.0,3.0,3.0,5.0,450.0,1.0,0.00257201646090535
1.0,3.0,3.0,3.0,6.0,400.0,2.0,0.00257201646090535
1.0,3.0,3.0,4.0,4.0,100.0,5.0,0.0038580246913580245
1.0,3.0,3.0,4.0,5.0,150.0,4.0,0.007716049382716049
1.0,3.0,3.0,4.0,6.0,100.0,5.0,0.007716049382716049
1.0,3.0,3.0,5.0,5.0,200.0,3.0,0.0038580246913580245
1.0,3.0,3.0,5.0,6.0,150.0,4.0,0.007716049382716049
1.0,3.0,3.0,6.0,6.0,100.0,5.0,0.0038580246913580245
1.0,3.0,4.0,4.0,4.0,500.0,2.0,0.00257201646090535
1.0,3.0,4.0,4.0,5.0,150.0,4.0,0.007716049382716049
1.0,3.0,4.0,4.0,6.0,100.0,5.0,0.007716049382716049
1.0,3.0,4.0,5.0,5.0,200.0,3.0,0.007716049382716049
1.0,3.0,4.0,5.0,6.0,150.0,4.0,0.015432098765432098
1.0,3.0,4.0,6.0,6.0,100.0,5.0,0.007716049382716049
1.0,3.0,5.0,5.0,5.0,600.0,2.0,0.00257201646090535
1.0,3.0,5.0,5.0,6.0,200.0,3.0,0.007716049382716049
1.0,3.0,5.0,6.0,6.0,150.0,4.0,0.007716049382716049
1.0,3.0,6.0,6.0,6.0,700.0,2.0,0.00257201646090535
1.0,4.0,4.0,4.0,4.0,1100.0,1.0,0.0006430041152263374
1.0,4.0,4.0,4.0,5.0,550.0,1.0,0.00257201646090535
1.0,4.0,4.0,4.0,6.0,500.0,2.0,0.00257201646090535
1.0,4.0,4.0,5.0,5.0,200.0,3.0,0.0038580246913580245
1.0,4.0,4.0,5.0,6.0,150.0,4.0,0.007716049382716049
1.0,4.0,4.0,6.0,6.0,100.0,5.0,0.0038580246913580245
1.0,4.0,5.0,5.0,5.0,600.0,2.0,0.00257201646090535
1.0,4.0,5.0,5.0,6.0,200.0,3.0,0.007716049382716049
1.0,4.0,5.0,6.0,6.0,150.0,4.0,0.007716049382716049
1.0,4.0,6.0,6.0,6.0,700.0,2.0,0.00257201646090535
1.0,5.0,5.0,5.0,5.0,1100.0,1.0,0.0006430041152263374
1.0,5.0,5.0,5.0,6.0,600.0,2.0,0.00257201646090535
1.0,5.0,5.0,6.0,6.0,200.0,3.0,0.0038580246913580245
1.0,5.0,6.0,6.0,6.0,750.0,1.0,0.00257201646090535
1.0,6.0,6.0,6.0,6.0,1100.0,1.0,0.0006430041152263374
2.0,2.0,2.0,2.0,2.0,2000.0,1.0,0.0001286008230452675
2.0,2.0,2.0,2.0,3.0,1000.0,2.0,0.0006430041152263374
2.0,2.0,2.0,2.0,4.0,1000.0,2.0,0.0006430041152263374
2.0,2.0,2.0,2.0,5.0,1050.0,1.0,0.0006430041152263374
2.0,2.0,2.0,2.0,6.0,1000.0,2.0,0.0006430041152263374
2.0,2.0,2.0,3.0,3.0,200.0,3.0,0.001286008230452675
2.0,2.0,2.0,3.0,4.0,200.0,3.0,0.00257201646090535
2.0,2.0,2.0,3.0,5.0,250.0,2.0,0.00257201646090535
2.0,2.0,2.0,3.0,6.0,200.0,3.0,0.00257201646090535
2.0,2.0,2.0,4.0,4.0,200.0,3.0,0.001286008230452675
2.0,2.0,2.0,4.0,5.0,250.0,2.0,0.00257201646090535
2.0,2.0,2.0,4.0,6.0,200.0,3.0,0.00257201646090535
2.0,2.0,2.0,5.0,5.0,300.0,1.0,0.001286008230452675
2.0,2.0,2.0,5.0,6.0,250.0,2.0,0.00257201646090535
2.0,2.0,2.0,6.0,6.0,200.0,3.0,0.001286008230452675
2.0,2.0,3.0,3.0,3.0,300.0,3.0,0.001286008230452675
2.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0038580246913580245
2.0,2.0,3.0,3.0,5.0,50.0,5.0,0.0038580246913580245
2.0,2.0,3.0,3.0,6.0,0.0,0.0,0.0038580246913580245
2.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0038580246913580245
2.0,2.0,3.0,4.0,5.0,50.0,5.0,0.007716049382716049
2.0,2.0,3.0,4.0,6.0,0.0,0.0,0.007716049382716049
2.0,2.0,3.0,5.0,5.0,100.0,4.0,0.0038580246913580245
2.0,2.0,3.0,5.0,6.0,50.0,5.0,0.007716049382716049
2.0,2.0,3.0,6.0,6.0,0.0,0.0,0.0038580246913580245
2.0,2.0,4.0,4.0,4.0,400.0,3.0,0.001286008230452675
2.0,2.0,4.0,4.0,5.0,50.0,5.0,0.0038580246913580245
2.0,2.0,4.0,4.0,6.0,0.0,0.0,0.0038580246913580245
2.0,2.0,4.0,5.0,5.0,100.0,4.0,0.0038580246913580245
2.0,2.0,4.0,5.0,6.0,50.0,5.0,0.007716049382716049
2.0,2.0,4.0,6.0,6.0,0.0,0.0,0.0038580246913580245
2.0,2.0,5.0,5.0,5.0,500.0,3.0,0.001286008230452675
2.0,2.0,5.0,5.0,6.0,100.0,4.0,0.0038580246913580245
2.0,2.0,5.0,6.0,6.0,50.0,5.0,0.0038580246913580245
2.0,2.0,6.0,6.0,6.0,600.0,3.0,0.001286008230452675
2.0,3.0,3.0,3.0,3.0,1000.0,2.0,0.0006430041152263374
2.0,3.0,3.0,3.0,4.0,300.0,3.0,0.00257201646090535
2.0,3.0,3.0,3.0,5.0,350.0,2.0,0.00257201646090535
2.0,3.0,3.0,3.0,6.0,300.0,3.0,0.00257201646090535
2.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0038580246913580245
2.0,3.0,3.0,4.0,5.0,50.0,5.0,0.007716049382716049
2.0,3.0,3.0,4.0,6.0,0.0,0.0,0.007716049382716049
2.0,3.0,3.0,5.0,5.0,100.0,4.0,0.0038580246913580245
2.0,3.0,3.0,5.0,6.0,50.0,5.0,0.007716049382716049
2.0,3.0,3.0,6.0,6.0,0.0,0.0,0.0038580246913580245
2.0,3.0,4.0,4.0,4.0,400.0,3.0,0.00257201646090535
2.0,3.0,4.0,4.0,5.0,50.0,5.0,0.007716049382716049
2.0,3.0,4.0,4.0,6.0,0.0,0.0,0.007716049382716049
2.0,3.0,4.0,5.0,5.0,100.0,4.0,0.007716049382716049
2.0,3.0,4.0,5.0,6.0,50.0,5.0,0.015432098765432098
2.0,3.0,4.0,6.0,6.0,0.0,0.0,0.007716049382716049
2.0,3.0,5.0,5.0,5.0,500.0,3.0,0.00257201646090535
2.0,3.0,5.0,5.0,6.0,100.0,4.0,0.007716049382716049
2.0,3.0,5.0,6.0,6.0,50.0,5.0,0.007716049382716049
2.0,3.0,6.0,6.0,6.0,600.0,3.0,0.00257201646090535
2.0,4.0,4.0,4.0,4.0,1000.0,2.0,0.0006430041152263374
2.0,4.0,4.0,4.0,5.0,450.0,2.0,0.00257201646090535
2.0,4.0,4.0,4.0,6.0,400.0,3.0,0.00257201646090535
2.0,4.0,4.0,5.0,5.0,100.0,4.0,0.0038580246913580245
2.0,4.0,4.0,5.0,6.0,50.0,5.0,0.007716049382716049
2.0,4.0,4.0,6.0,6.0,0.0,0.0,0.0038580246913580245
2.0,4.0,5.0,5.0,5.0,500.0,3.0,0.00257201646090535
2.0,4.0,5.0,5.0,6.0,100.0,4.0,0.007716049382716049
2.0,4.0,5.0,6.0,6.0,50.0,5.0,0.007716049382716049
2.0,4.0,6.0,6.0,6.0,600.0,3.0,0.00257201646090535
2.0,5.0,5.0,5.0,5.0,1000.0,2.0,0.0006430041152263374
2.0,5.0,5.0,5.0,6.0,500.0,3.0,0.00257201646090535
2.0,5.0,5.0,6.0,6.0,100.0,4.0,0.0038580246913580245
2.0,5.0,6.0,6.0,6.0,650.0,2.0,0.00257201646090535
2.0,6.0,6.0,6.0,6.0,1000.0,2.0,0.0006430041152263374
3.0,3.0,3.0,3.0,3.0,2000.0,1.0,0.0001286008230452675
3.0,3.0,3.0,3.0,4.0,1000.0,2.0,0.0006430041152263374
3.0,3.0,3.0,3.0,5.0,1050.0,1.0,0.0006430041152263374
3.0,3.0,3.0,3.0,6.0,1000.0,2.0,0.0006430041152263374
3.0,3.0,3.0,4.0,4.0,300.0,3.0,0.001286008230452675
3.0,3.0,3.0,4.0,5.0,350.0,2.0,0.00257201646090535
3.0,3.0,3.0,4.0,6.0,300.0,3.0,0.00257201646090535
3.0,3.0,3.0,5.0,5.0,400.0,1.0,0.001286008230452675
3.0,3.0,3.0,5.0,6.0,350.0,2.0,0.00257201646090535
3.0,3.0,3.0,6.0,6.0,300.0,3.0,0.001286008230452675
3.0,3.0,4.0,4.0,4.0,400.0,3.0,0.001286008230452675
3.0,3.0,4.0,4.0,5.0,50.0,5.0,0.0038580246913580245
3.0,3.0,4.0,4.0,6.0,0.0,0.0,0.0038580246913580245
3.0,3.0,4.0,5.0,5.0,100.0,4.0,0.0038580246913580245
3.0,3.0,4.0,5.0,6.0,50.0,5.0,0.007716049382716049
3.0,3.0,4.0,6.0,6.0,0.0,0.0,0.0038580246913580245
3.0,3.0,5.0,5.0,5.0,500.0,3.0,0.001286008230452675
3.0,3.0,5.0,5.0,6.0,100.0,4.0,0.0038580246913580245
3.0,3.0,5.0,6.0,6.0,50.0,5.0,0.0038580246913580245
3.0,3.0,6.0,6.0,6.0,600.0,3.0,0.001286008230452675
3.0,4.0,4.0,4.0,4.0,1000.0,2.0,0.0006430041152263374
3.0,4.0,4.0,4.0,5.0,450.0,2.0,0.00257201646090535
3.0,4.0,4.0,4.0,6.0,400.0,3.0,0.00257201646090535
3.0,4.0,4.0,5.0,5.0,100.0,4.0,0.0038580246913580245
3.0,4.0,4.0,5.0,6.0,50.0,5.0,0.007716049382716049
3.0,4.0,4.0,6.0,6.0,0.0,0.0,0.0038580246913580245
3.0,4.0,5.0,5.0,5.0,500.0,3.0,0.00257201646090535
3.0,4.0,5.0,5.0,6.0,100.0,4.0,0.007716049382716049
3.0,4.0,5.0,6.0,6.0,50.0,5.0,0.007716049382716049
3.0,4.0,6.0,6.0,6.0,600.0,3.0,0.00257201646090535
3.0,5.0,5.0,5.0,5.0,1000.0,2.0,0.0006430041152263374
3.0,5.0,5.0,5.0,6.0,500.0,3.0,0.00257201646090535
3.0,5.0,5.0,6.0,6.0,100.0,4.0,0.0038580246913580245
3.0,5.0,6.0,6.0,6.0,650.0,2.0,0.00257201646090535
3.0,6.0,6.0,6.0,6.0,1000.0,2.0,0.0006430041152263374
4.0,4.0,4.0,4.0,4.0,2000.0,1.0,0.0001286008230452675
4.0,4.0,4.0,4.0,5.0,1050.0,1.0,0.0006430041152263374
4.0,4.0,4.0,4.0,6.0,1000.0,2.0,0.0006430041152263374
4.0,4.0,4.0,5.0,5.0,500.0,1.0,0.001286008230452675
4.0,4.0,4.0,5.0,6.0,450.0,2.0,0.00257201646090535
4.0,4.0,4.0,6.0,6.0,400.0,3.0,0.001286008230452675
4.0,4.0,5.0,5.0,5.0,500.0,3.0,0.001286008230452675
4.0,4.0,5.0,5.0,6.0,100.0,4.0,0.0038580246913580245
4.0,4.0,5.0,6.0,6.0,50.0,5.0,0.0038580246913580245
4.0,4.0,6.0,6.0,6.0,600.0,3.0,0.001286008230452675
4.0,5.0,5.0,5.0,5.0,1000.0,2.0,0.0006430041152263374
4.0,5.0,5.0,5.0,6.0,500.0,3.0,0.00257201646090535
4.0,5.0,5.0,6.0,6.0,100.0,4.0,0.0038580246913580245
4.0,5.0,6.0,6.0,6.0,650.0,2.0,0.00257201646090535
4.0,6.0,6.0,6.0,6.0,1000.0,2.0,0.0006430041152263374
5.0,5.0,5.0,5.0,5.0,2000.0,1.0,0.0001286008230452675
5.0,5.0,5.0,5.0,6.0,1000.0,2.0,0.0006430041152263374
5.0,5.0,5.0,6.0,6.0,500.0,3.0,0.001286008230452675
5.0,5.0,6.0,6.0,6.0,700.0,1.0,0.001286008230452675
5.0,6.0,6.0,6.0,6.0,1050.0,1.0,0.0006430041152263374
6.0,6.0,6.0,6.0,6.0,2000.0,1.0,0.0001286008230452675
